,name,room_type,price,minimum_nights,number_of_reviews,availability_365
39032,Peaceful and Clean Home in Fort Greene.,Private room,65,3,4,0
39035,Huge Renovated Studio in Manhattan,Entire home/apt,200,5,1,0
39041,Luxurious bedroom in Tribeca - walk to World Trade,Private room,97,1,4,0
39046,Beautiful Bedroom with Private Bath in Brooklyn,Private room,55,2,2,0
39047,Cozy 1 bedroom east village apartment,Entire home/apt,101,2,3,0
39048,Bright UWS apartment a block from Riverside Park,Entire home/apt,180,3,6,0
39050,"Clean, Cozy Private Bedroom/Apartment",Private room,65,3,3,0
39055,Huge sunny 2bed apt in Harlem. Skyline views!,Entire home/apt,300,2,1,0
39057,NEW Brooklyn studio get away!,Entire home/apt,200,2,7,0
39061,Peaceful Haven in NYC!,Entire home/apt,125,3,1,0
39062,Cozy Williamsburg Apt in the Coolest Neighborhood!,Entire home/apt,200,1,3,0
39066,"Brooklyn Home - backyard, office, easy to city!",Entire home/apt,120,30,0,0
39067,Coziest space off the j,Private room,70,1,1,0
39071,"Charming, well-located with everything you need!",Entire home/apt,119,5,3,0
39074,Modern NYC Apartment with high ceilings/views.,Entire home/apt,800,5,0,0
39077,Sunny 2 Bdr Apartment in Williamsburg (1000sqf),Entire home/apt,180,3,3,0
39079,Cozy studio middle of Manhattan/ close to Time sq.,Entire home/apt,130,4,2,0
39085,Romantic New York City Get-Away,Entire home/apt,95,2,24,0
39090,Pride Weekend East Village Apartment,Entire home/apt,170,1,0,0
39091,"Habitación privada en Brooklyn, New York.",Private room,45,5,0,0
39094,GREAT LOCATION! NYC ON A BUDGET!!,Private room,50,1,0,0
39096,The Gingerheadman's House!,Private room,150,1,3,0
39103,"Elegant Ft. Greene One-Bedroom, 5 min from Subway",Entire home/apt,185,4,8,0
39104,Sunny 2-bedroom Brooklyn Apt with Rooftop Views,Entire home/apt,200,3,1,0
39105,Luxury 2BD 1Bath Condo in Harlem.,Entire home/apt,300,4,4,0
39107,Pelham south,Private room,25,2,1,0
39111,New york Multi-unit building,Entire home/apt,250,7,0,0
39113,Real New York Experience! Pvt 1 bedroom apt in UES,Entire home/apt,102,30,2,0
39118,"Private Room in Top Floor Apartment, heart of NYC",Private room,110,1,0,0
39121,The Williamsburg Artist's Pad,Entire home/apt,111,5,1,0
39122,Boho tranquil room in bushwick/ridgewood,Private room,60,2,2,0
39125,"Cozy, Sunny Studio in the heart of Central Harlem.",Entire home/apt,54,30,0,0
39126,Your own little apartment in New York,Entire home/apt,55,7,2,0
39127,"Quiet, comfortable and clean bedroom on UWS",Private room,110,1,0,0
39135,Spacious beautifully designed modern 2-bedroom,Entire home/apt,175,1,1,0
39137,Upper West Side 3-bedroom,Entire home/apt,133,1,2,0
39138,Queens Garden,Entire home/apt,200,3,0,0
39140,Clean Airy 1-Bedroom Apartment in Gowanus,Entire home/apt,70,6,1,0
39142,Heart of Little Italy / Soho,Entire home/apt,250,1,0,0
39144,Sunny 1BR in Williamsburg/Greenpoint,Entire home/apt,175,5,0,0
39145,NYC East Village Doorman Unit with Private Rooftop,Entire home/apt,240,3,1,0
39146,Beautiful Private Room in Harlem/Hamilton Height,Private room,43,5,1,0
39147,Brooklyn room with Empire State building view,Private room,99,5,1,0
39149,Clean music/film themed bedroom,Private room,37,5,0,0
39153,2BR in Williamsburg | One block from Hewes JMZ,Entire home/apt,250,6,1,0
39160,Spacious Brooklyn Apartment,Private room,50,5,0,0
39163,Railroad 2 bdr apartment,Entire home/apt,90,3,1,0
39167,"Nice, Clean and quiet place in Williamsburg",Private room,100,5,1,0
39171,Convenient East Village Apartment,Entire home/apt,150,4,0,0
39176,Penthouse apartment in the heart of Williamsburg,Private room,70,2,1,0
39186,Brand new studio,Entire home/apt,200,4,0,0
39187,Vibey Artist Studio - Heart of Lower East Side,Entire home/apt,99,1,3,0
39192,Gut renovated one bedroom in Brooklyn!,Entire home/apt,70,1,23,0
39194,Private One Bedroom Chelsea Apartment New York-#1,Private room,138,25,0,0
39195,Private Bedroom on Newly Renovated Apartment,Private room,55,2,2,0
39198,"2-Bedroom Bright Duplex, Heart of Williamsburg",Entire home/apt,280,3,0,0
39201,Manhattan Midtown West 3B Apartment,Entire home/apt,500,5,5,0
39202,A gem in Bushwick,Private room,65,1,3,0
39209,Cozy Room in Brokklyn,Private room,40,25,0,0
39215,A safe room to stay in Manhattan. Clean & sunny.,Private room,31,30,1,0
39218,Spacious artsy private bedroom,Private room,150,1,8,0
39219,Clinton Hill Studio,Entire home/apt,120,3,3,0
39221,Sun-lit Room in the Heart of SoHo,Private room,90,1,0,0
39222,Modern Chic Studio,Entire home/apt,250,1,1,0
39224,Sunny private room in the heart of Brooklyn.,Private room,56,1,6,0
39235,Spacious 2 bedroom near Central Park,Private room,175,3,0,0
39265,Single Bedroom-Upper East Side-Central Park,Private room,80,1,3,0
39268,Warm & sweet private bedroom,Private room,120,2,8,0
39278,Traditional yet Modern home away from home,Private room,49,1,1,0
39282,Huge master bedroom in prime Financial District,Private room,100,8,1,0
39287,Skyline Views in Williamsburg 4Br,Private room,50,4,1,0
39292,Private Room in Heart of Brooklyn!,Private room,59,1,2,0
39297,"Chic, Quiet, Convenient East Village One-Bedroom",Entire home/apt,240,2,7,0
39299,Art Deco Soho Loft,Entire home/apt,250,2,28,0
39301,Sunny Williamsburg Loft ☀️,Entire home/apt,150,3,4,0
39302,Brooklyn Pvt Bedroom with an amazing rooftop!,Private room,80,3,0,0
39306,Prime Location Affordable 2 Bedrooms,Entire home/apt,152,30,2,0
39308,"Modern Studio in Heart of Crown Heights, Brooklyn",Entire home/apt,100,1,15,0
39311,ENTIRE bushwick studio,Entire home/apt,100,3,3,0
39314,Comfortable one bedroom in heart of Midtown,Entire home/apt,120,10,2,0
39323,"Sunny, Cozy Apartment in Chinatown/LES",Entire home/apt,175,2,0,0
39324,NEW - Manhattan - Private room near Central Park,Private room,79,1,31,0
39330,Upscale Artsy Apartment in Brooklyn - Free Parking,Entire home/apt,100,2,7,0
39331,Cosy APt,Entire home/apt,120,5,1,0
39334,Spacious 1 BR Home in Hell's Kitchen,Entire home/apt,172,4,3,0
39335,Modern Room in LuxuryApt overlooking LIC&Manhattan,Private room,68,30,6,0
39338,Large bright room in the heart of Bushwick,Private room,50,5,1,0
39341,"Gorgeous Hideout, Close to Everything.",Private room,60,1,10,0
39343,Brand new beautiful apartment in Williamsburg!,Private room,75,7,2,0
39349,A Quiet Room in Greenpoint,Private room,75,3,2,0
39353,MILES DAVIS BIG BEAUTIFUL BEDROOM,Private room,90,2,20,0
39361,Great East Village/Alphabet City Apt!,Private room,49,4,2,0
39362,Cozy New York Apartment. Amazing Location!,Entire home/apt,150,5,1,0
39364,Giant Duplex with Backyard 20 Mins to Manhattan!,Entire home/apt,150,5,2,0
39366,"Sunny, plant-filled & quiet Washington Heights apt",Private room,75,2,5,0
39367,Very cozy apartment in Brooklyn.,Entire home/apt,75,3,1,0
39368,Prime Williamsburg water front modern one-bed,Entire home/apt,99,5,5,0
39377,Zohar’s Apartment,Entire home/apt,180,5,1,0
39378,Pop Fashion Studio,Entire home/apt,93,3,5,0
39379,Serene Brooklyn Brownstone Gem,Entire home/apt,100,3,13,0
39390,Warm & Welcoming Home for You - Crown Heights,Private room,500,3,32,0
39392,"Private Studio apartment In prime Astoria, no fees",Entire home/apt,95,3,0,0
39394,A spacious 1 bedroom apt in a landmark building,Entire home/apt,220,2,0,0
39401,Charming Williamsburg Loft - 1 BR,Entire home/apt,179,1,15,0
39406,Charming 1 bedroom in a 2 bedroom west village apt,Private room,200,1,0,0
39408,Furnished & Renovated. An Astoria NY RM w/ Appeal!,Private room,39,30,1,0
39409,"Master Suite w/ Own Bath, 3 mins from subway!",Private room,54,30,0,0
39414,Modern and charming Brooklyn apartment,Private room,54,21,1,0
39416,Private room,Private room,180,1,1,0
39426,king size bed in hip LES -subway outside,Private room,80,2,3,0
39441,Private Room in Clean & Cozy Home Central Location,Private room,59,5,5,0
39442,ONE BIG PARK SLOPE ROOM starting MARCH - MAY 2019,Private room,42,90,0,0
39443,Long Term Stay 4 1/2- 5 months. Starting Jan,Entire home/apt,60,133,0,0
39446,Quite Spacious studio easy access to ALL,Entire home/apt,149,2,3,0
39449,Living room in Queens for rent,Shared room,35,62,0,0
39457,Room in central Manhattan,Private room,115,4,1,0
39458,Alphabet City Long term Stay,Private room,70,30,0,0
39463,"Spacious room in quiet Sunset Park, Brooklyn",Private room,30,10,1,0
39467,Bright airy rooms in Queens close to transport,Private room,40,5,2,0
39468,"Manhattan huge bedroom, with PRIVATE BATHROOM!",Private room,159,3,0,0
39470,"Tranquility and views - 2 beds, family-friendly",Private room,199,3,1,0
39474,Cute 2BR in the middle of West Village,Entire home/apt,155,30,0,0
39475,"Convenient, comfy, and bright apartment",Entire home/apt,200,2,0,0
39500,1 bedroom apartment in Bushwick,Entire home/apt,120,3,2,0
39504,Sunny & Big Room w/private toilet in Bushwick,Private room,72,3,0,0
39505,Heart of Bedford Stuyvesant.  Next to subway.   Full floor in brown stone.  Great neighborhood.   20 minutes to downtown Manhattan.   Best place ever.,Entire home/apt,100,2,5,0
39512,Private One Bedroom Chelsea Apartment New York-#2,Private room,138,25,0,0
39515,Spacious Manhattan Apartment near Battery Park,Entire home/apt,116,3,17,0
39516,Big private room in Brooklyn penthouse,Private room,60,7,2,0
39525,Private cozy room in a modern artsy apartment,Private room,65,1,13,0
39526,Private room in sunny apartment in Williamsburg,Private room,72,3,2,0
39530,"Chic, stylish apartment in HEART of NYC",Entire home/apt,250,2,39,0
39535,Private bedroom with Attached bathroom,Private room,65,15,1,0
39538,Modern Cozy 2 Bedroom Apt on UES -Near subways!,Entire home/apt,185,2,3,0
39544,UWS Studio Apartment,Entire home/apt,250,2,0,0
39557,Newly Renovated Bedroom Central Park South,Private room,131,2,2,0
39559,Room Near Times Square/Javits/Hells Kitchen/MSG,Private room,89,2,1,0
39560,Brand new building  with Manhattan view,Entire home/apt,200,3,0,0
39562,Cute inexpensive place for a short stay in Queens,Shared room,40,1,1,0
39563,Penthouse Gorgeous Apartment Stay,Private room,45,7,8,0
39564,Cozy and clean room. Easy transportation,Private room,70,5,0,0
39565,Sunny and Bright Space in Heart of East Village,Entire home/apt,225,4,0,0
39578,Quiet Sunny Spacious Room in Charming Vintage Apt,Private room,120,3,0,0
39580,Cozy private room near Upper West Central Park,Private room,85,1,0,0
39582,"New, Lovely Studio in Long Island City",Entire home/apt,199,7,0,0
39583,Nice private bedroom near Upper West Central Park,Private room,90,1,2,0
39594,"Spacious, Mid-Century Studio in Downtown Brooklyn!",Entire home/apt,199,5,2,0
39596,Cozy Astoria Getaway!,Private room,40,1,3,0
39601,Your 1BR home in Murray Hill!,Entire home/apt,150,1,2,0
39603,Charming Hideout by the East River,Private room,120,3,2,0
39605,Sun-Soaked Historic Brownstone Apartment,Entire home/apt,130,3,1,0
39613,"Quaint, Artsy 1BD in Greenpoint",Private room,120,4,0,0
39621,"LIC网红楼Jackson Park沙发客厅 
Luxury apartment livingrm",Private room,45,3,4,0
39624,Cozy private room in the Upcoming Bronx,Private room,34,2,2,0
39626,wheelchair accessible apt near Columbia University,Entire home/apt,150,4,2,0
39627,BROOKLYN : PRIVATE ROOM +BATHROOM,Private room,50,6,1,0
39630,Tiny bedroom in Williamsburg - Brooklyn,Private room,60,4,1,0
39635,Cute and Cozy Bedroom in Northern Manhattan,Private room,65,4,8,0
39636,Entire Loft with a bedroom and walk-in closet,Entire home/apt,300,2,2,0
39637,"Renovated pre-war flat, terrace, & garden",Entire home/apt,180,2,2,0
39641,NEWLY FURNISHED Luxury Studio at Park Avenue South,Entire home/apt,160,30,1,0
39642,Large Room and Windows in Cozy Crown Heights,Private room,45,1,0,0
39643,Cozy Crown Heights Studio,Entire home/apt,85,3,0,0
39649,Luxury apartment in UES,Entire home/apt,300,3,4,0
39650,Brooklyn the the way it should be,Entire home/apt,90,1,0,0
39654,Pvt entrance lower level apt w/cable-wi-fi pvt bth,Private room,30,2,8,0
39659,Comfortable Suite/Apartment in Manhattan,Entire home/apt,60,5,4,0
39662,"Private bedroom in BK community, w/ parking",Private room,50,1,3,0
39663,Luxury Studio In Heart of Manhattan,Entire home/apt,150,30,0,0
39665,Greenpoint Light & Plant filled Apt mins from city,Entire home/apt,115,3,2,0
39668,"Country home in Manhattan, w/ fireplace, backyard!",Entire home/apt,515,20,0,0
39672,Sunny Bedroom in Chelsea Beauty!,Private room,80,1,2,0
39674,Spacious and Bright bedroom (females only!),Private room,52,1,1,0
39679,"Cozy 2 Bed Room Gramercy, New York",Entire home/apt,220,2,1,0
39681,Global Sanctuary ~Brooklyn Private Room,Private room,70,1,0,0
39686,The Den -  3 mins  to JFK,Private room,45,1,17,0
39691,Luxury Apartement in Manhattan,Entire home/apt,250,5,0,0
39694,Room Available in Crown Heights,Private room,31,14,2,0
39698,Composer's Atelier in the Heart of Brooklyn,Private room,38,1,1,0
39699,Newly Renovated Doorman Apt. with Great Amenities,Entire home/apt,210,3,1,0
39702,Spacious One-bedroom Home in Columbia U,Entire home/apt,80,14,0,0
39703,Cozy Brooklyn Loft,Private room,60,2,1,0
39709,Alphabet City!! Entire Apartment!,Private room,175,3,0,0
39713,Luxury Apartment in Lower East Side,Entire home/apt,400,1,2,0
39719,Spacious Home Centrally located Near Downtown,Entire home/apt,275,2,5,0
39720,Gorgeous Flat with Priv Patio Steps from 42nd/34th,Entire home/apt,375,3,1,0
39723,"Cozy and Sunny Room Williamsburg, Luxury Building",Private room,80,3,2,0
39727,Room in big and light Prospect Heights apartment,Private room,55,2,4,0
39733,Large and cozy room in the heart of Manhattan,Private room,350,1,7,0
39734,700sf One Bedroom Loft in the Clouds,Entire home/apt,125,5,1,0
39736,STEPS FROM BALL DROP IN TIME SQR! Sleeps up to 8!,Entire home/apt,1000,1,0,0
39746,Stylish 2 Bedroom in Brooklyn + A Cat,Entire home/apt,175,2,1,0
39748,1 bedroom SOHO flat with sunny views,Entire home/apt,380,2,12,0
39752,Spacious Master Bedroom in Harlem,Private room,50,1,3,0
39759,Chic 2 bedroom just a train ride away from NYC,Entire home/apt,200,2,1,0
39760,Gorgeous Bedroom in spacious Brooklyn apt,Private room,60,1,3,0
39764,Private Bedroom next to Times Square,Private room,83,2,1,0
39768,Hart Street Garden Apartment,Private room,30,2,1,0
39784,"Huge 400 sf BR, amazing location",Private room,45,2,3,0
39785,Beautiful Brooklyn Brownstone in Lefferts Gardens,Entire home/apt,200,30,0,0
39789,Bright 1 Bedroom / Columbia & Morningside Heights,Entire home/apt,80,3,1,0
39792,Cozy 1 bedroom in Upper East Side,Entire home/apt,235,3,7,0
39793,Small room in NOLITA Artist Tenement APT,Private room,150,5,1,0
39795,Naturally-lit Loft in Williamsburg by NÔM Stays,Entire home/apt,120,29,0,0
39796,Clean Central Spacious One Bedroom Home,Entire home/apt,199,1,5,0
39798,Bohemian 1-bedroom in Williamsburg,Private room,100,1,1,0
39799,Cozy & Clean private bedroom in Columbus Circle.,Private room,89,5,2,0
39804,Holiday Get Away,Entire home/apt,150,1,1,0
39809,One bedroom in 2 bedroom apartment,Private room,75,1,15,0
39815,"My roomie is in Hawaii for 1 month, I'm on Airbnb",Private room,55,1,1,0
39824,Artist Apartment in EastVillage,Entire home/apt,175,5,1,0
39825,Artistic apartment in the Heart of Manhattan,Entire home/apt,200,4,1,0
39826,Clean and Cozy 1 Bedroom Apartment in LES,Entire home/apt,102,2,2,0
39829,"Large bedroom and private bath, astoria, NY",Private room,55,7,2,0
39830,"HUGE warm sunny room in Clinton Hill, Brooklyn",Private room,65,5,1,0
39840,"Cozy room,25 minutes to Manhattan",Private room,32,3,1,0
39841,Brooklyn Apartment Room for Monthly Sublet,Private room,35,30,1,0
39843,Room in AMAZING Williamsburg Apartment!,Private room,70,5,1,0
39844,2-bedroom apartment on the Upper East Side,Entire home/apt,130,1,4,0
39853,Chic Brooklyn Apartment,Entire home/apt,200,2,15,0
39858,Humble abode near Prospect Park,Entire home/apt,160,3,0,0
39870,Beautiful boutique studio near Central Park,Entire home/apt,135,25,1,0
39871,Sunny and Spacious Charmer in S Williamsburg,Entire home/apt,125,3,0,0
39873,Sunny home w/ beautiful views,Entire home/apt,99,2,1,0
39875,The NYC Adventure,Private room,65,365,1,0
39878,Cozy Room in Crown Heights 0 minutes from transit,Private room,33,29,0,0
39881,Master suite in iconic Brooklyn brownstone,Private room,130,3,1,0
39882,Great Deal! Sunny 2 Bedroom in Greenpoint!,Entire home/apt,100,1,26,0
39887,Living room at prime location,Shared room,22,1,5,0
39889,Sunny Clean Modern 2BR w/ Private Roofdeck!,Entire home/apt,100,2,1,0
39894,Riverdale private room,Private room,49,1,3,0
39906,Cozy one-bedroom in Astoria!,Private room,70,2,1,0
39907,Private Room in Bushwick Loft,Private room,40,2,5,0
39916,2nd bedroom still available for the holidays,Private room,105,1,0,0
39918,Nice Room Sunnyside 15 min to Times Sq (AC/TV),Private room,35,1,37,0
39919,1bdr apartment / 2 stops to Manhattan (D/N trains),Entire home/apt,100,2,5,0
39924,Gorgeous Room in Lux Apt: Prime Upper East!,Private room,100,1,10,0
39928,Stunning Penthouse 2 bedrooms full city view,Entire home/apt,400,4,17,0
39934,Modern apt near mall and trains. 25 min from city,Entire home/apt,200,1,1,0
39946,Sunny Boutique Condo on Picturesque Harlem Street,Entire home/apt,250,2,10,0
39951,Nice apartment with great view on the Hudson River,Entire home/apt,160,2,1,0
39957,"Come and enjoy ""Brooklyn is the new Manhattan""",Private room,55,1,1,0
39965,Luxury Bushwick design suite 15 min to Manhattan,Private room,60,5,0,0
39966,Cozy and Bright Bedroom for One or Two,Private room,65,4,1,0
39968,Perfect location in Manhattan,Private room,68,1,0,0
39971,Greenwich Village Prewar off Washington Sq Park!,Entire home/apt,142,3,3,0
39973,Single Room in the heart of Corona Queens,Private room,46,2,4,0
39974,Cute/Clean Affordable Room Close To Public Transp.,Private room,75,1,1,0
39977,Charming 1 Bedroom in Bushwick 20 min to Manhattan,Entire home/apt,120,30,0,0
39979,2 bedroom apt in the heart of Bushwick (House),Entire home/apt,250,2,1,0
39980,Cozy bedroom in spacious Crown Heights apartment!,Private room,60,1,1,0
39981,Home in the heart of Brooklyn,Entire home/apt,69,30,0,0
39992,Room 25 min away from Manhattan 7train/busQ67,Private room,60,3,8,0
39994,New York - Upper East side cozy appartment,Private room,125,3,2,0
39998,Sunshine Room in Quiet Greenpoint Apartment,Private room,75,2,9,0
40000,Beautiful Apartment on the Upper West Side,Entire home/apt,200,3,0,0
40002,Private room in my apartment.,Private room,28,4,6,0
40004,Luxury high floor 1bdrm in prime midtown location!,Entire home/apt,300,3,0,0
40010,Room + movie theater/gym/roof - 1 block to subway!,Private room,80,2,9,0
40011,长岛豪华公寓单间卧室低价短租交通无敌便利,Private room,60,2,0,0
40032,"Luxury, Sunny, Comfy, Gorgeous views, Central Park",Entire home/apt,890,3,0,0
40033,Brooklyn Home,Private room,42,1,0,0
40044,1 Bedroom/1 Bath Apt in Hudson Yards/Midtown West,Entire home/apt,250,1,1,0
40045,UES WITH VIEW OF EAST RIVER,Private room,70,1,6,0
40047,Central Light Filled Studio,Entire home/apt,160,4,2,0
40050,Private 2BR w/washer/dryer/balcony in Bushwick,Entire home/apt,249,2,6,0
40052,Humble abode residing 20 minutes away from city,Private room,49,1,1,0
40053,Quarto espaçoso perto de Manhattan!,Private room,48,2,21,0
40054,East Village Nook,Shared room,65,2,0,0
40058,Sunny room in iconic Brooklyn brownstone,Private room,120,2,0,0
40063,West Village Apartment,Entire home/apt,500,2,0,0
40067,Amazing apartment,Private room,100,14,0,0
40071,"5 min walk to train,2 min  walk to bus, most shop.",Entire home/apt,200,2,1,0
40072,HUGE queen bed 1 block away from Prospect Park!,Private room,60,5,2,0
40087,Beautiful Brooklyn Apartment - The Sunlight Room,Private room,48,1,1,0
40088,Sunny Bedroom off Broadway,Private room,50,5,0,0
40089,Bright and Cozy Room in Greenpoint!,Private room,55,7,2,0
40100,Luxury Union Square Loft (3000 sq ft),Private room,200,1,2,0
40101,Designer Artist Loft in Williamsburg,Entire home/apt,150,2,4,0
40103,Modern 1 Bedroom Escape with River Views,Entire home/apt,279,1,12,0
40106,Home in Hell's Kitchen,Private room,100,1,1,0
40108,Huge Private Room w/ Private Bathroom in Flatiron!,Private room,120,3,9,0
40112,"Massive Manhattan Private Room,15 mins to Times Sq",Private room,89,6,9,0
40113,"Studio apartment between NYC, JFK and LGA airports",Entire home/apt,45,3,8,0
40114,ONE OF A KIND: HUGE BEAUTIFUL LOFT,Entire home/apt,250,5,1,0
40119,Awesome Apartment in Lower East Side,Private room,60,30,0,0
40131,Empire State Building Views in Luxury 1 Bedroom,Entire home/apt,250,2,4,0
40143,Large bedroom with a private terrace in Astoria,Private room,75,1,1,0
40144,Spacious Studio near Prospect Park,Entire home/apt,52,30,1,0
40147,Carroll Garden Brownstone Charmer w/ Washer&Dryer,Entire home/apt,100,7,0,0
40148,"Luxury Doorman Apartment - POOL, GYM, LOUNGE +++",Entire home/apt,110,15,2,0
40153,Spacious Duplex with two terraces and a roof deck,Private room,125,1,1,0
40156,Light and refresh 1-2 bdrm apartment,Entire home/apt,100,7,0,0
40157,Private room in beautiful Brownstone building,Private room,30,5,2,0
40158,The perfect NYC flat in the Meatpacking / Chelsea,Entire home/apt,190,3,2,0
40159,Cozy bedroom next to Columbia University,Private room,110,1,1,0
40162,Beautiful Brooklyn Apartment: The Red Room,Private room,48,1,2,0
40164,Bright and cozy bedroom in Williamsburg,Private room,48,1,23,0
40165,Room in Perfect Bushwick Location,Private room,90,3,2,0
40171,Beautiful Brooklyn Apartment: The Quaint Room,Private room,48,1,3,0
40172,Beautiful Brooklyn Apartment: The Cozy Room,Private room,48,1,5,0
40176,Astoria Apt quick trip to Manhattan and LGA,Private room,98,30,1,0
40192,Modern East Village Oasis,Entire home/apt,250,1,3,0
40193,Private room available close to everything!,Private room,120,3,0,0
40195,"Spacious, cozy Private room 10 min from Manhattan",Private room,36,2,3,0
40217,Hip Bushwick Basement Dwelling,Private room,75,1,0,0
40220,Brooklyn bedroom and open basement,Private room,200,2,1,0
40222,Brooklyn Bedroom (Flatbush-Ditmas) II,Private room,45,1,4,0
40232,Spacious 1-bedroom Apartment in Manhattan,Entire home/apt,100,1,21,0
40234,Nice Room in Sunnyside (15 min to Times Square),Private room,33,1,7,0
40239,LIC Spacious Bedroom in Luxury Building,Private room,60,5,0,0
40241,Private bedroom with a personal backyard,Private room,50,7,0,0
40242,"Spacious, cute room in great location",Private room,75,3,0,0
40244,Long Island City,Entire home/apt,150,2,3,0
40250,Spacious studio on museum miles by central park,Entire home/apt,100,4,0,0
40256,Air and Light and Time and Space,Entire home/apt,187,1,8,0
40257,"Private bedroom near M train, 22 min to Manhattan!",Private room,39,6,2,0
40258,Central Harlem Private Room,Private room,60,2,1,0
40259,"Sunny 1 bedroom in Greenpoint, great location!",Entire home/apt,75,2,8,0
40262,Elegance and Comfort in Clinton Hill,Private room,75,1,3,0
40263,Private bedroom in a Historic Brownstone House,Private room,39,2,9,0
40264,Neat & Tidy - East Village,Entire home/apt,187,3,1,0
40267,Private Room with Backyard,Private room,119,1,0,0
40276,Cozy studio close to Central Park,Entire home/apt,100,1,32,0
40281,Private bedroom in Gorgeous Tonwhouse/Backyard,Private room,39,2,3,0
40282,Furnished Private Room in Apartment,Private room,60,2,0,0
40289,"Gorgeous Bedstuy Duplex: space, light and style",Entire home/apt,209,3,0,0
40290,Bright Modern Room in Brooklyn,Private room,55,10,0,0
40291,Charming Fort Greene Garden Apartment,Entire home/apt,125,14,0,0
40295,Spacious lovely clean private room in Brooklyn,Private room,50,1,0,0
40296,Private room in Bedstuy Brooklyn!,Private room,55,30,2,0
40300,Spacious Studio Sublet in Hell's Kitchen,Entire home/apt,104,28,1,0
40301,"Сдаётся с 13 Февраля-20 Марта ,
В отличном раёне",Entire home/apt,80,35,0,0
40306,Private Room in Park Slope,Private room,30,2,1,0
40308,Amazing location with the Manhattan Skyline View!!,Private room,105,1,1,0
40309,Cute and spacious room in prime Astoria!!,Private room,60,4,0,0
40312,Lovely Chinatown Apartment,Entire home/apt,175,2,4,0
40317,Gorgeous Upper West Side Gem with sofa bed! ,Entire home/apt,300,2,5,0
40324,Private bedroom in Queens//Netflix,Private room,75,2,0,0
40327,Large bright modern apartment in luxury building,Entire home/apt,180,5,1,0
40330,Williamsburg Private Room in Homey Space by Trains,Private room,75,2,1,0
40333,Cozy sunny room in Washington Heights,Private room,33,3,1,0
40335,Charming new renovated private room,Private room,90,1,1,0
40336,1 bd. Apartment in central Greenpoint,Entire home/apt,175,4,3,0
40340,"1 bedroom in roommates apartment
In Williamsburg",Private room,45,1,2,0
40342,Spacious large bedroom room,Private room,70,2,1,0
40345,Herbalist’s Home,Private room,70,1,1,0
40347,Cozy Bedroom Steps From The 1 Train,Private room,55,2,0,0
40351,Cosy studio in the heart of Manhattan,Entire home/apt,200,7,0,0
40354,Best East Village Location,Private room,99,2,1,0
40363,LUXURIOUS EXPERIENCE IN TIME SQUARE NYC,Entire home/apt,260,5,0,0
40365,Modern 2 bdr penthouse 300 feet from subway,Entire home/apt,150,5,0,0
40370,Charming studio w/ lots of light!,Entire home/apt,200,2,0,0
40372,Classic and Cozy Brooklyn Brownstone Apartment 1BR,Entire home/apt,70,4,0,0
40374,Stylish One Bedroom in Chelsea,Entire home/apt,275,2,0,0
40376,Bedstuy Moroccan Room and Photo  Studio,Private room,200,2,0,0
40378,COSY BEDROOM in CITY CENTER,Private room,140,1,9,0
40381,Creative artist apartment in Williamsburg,Private room,45,3,1,0
40384,small room in Manhattan. Close to major nyc sites,Private room,53,1,1,0
40387,Modern bedroom with view in a high rise building,Private room,65,1,11,0
40388,Williamsburg Gem,Private room,65,2,0,0
40390,203 E175th,Private room,50,1,0,0
40395,Large room near express trains & Central Park,Private room,61,4,2,0
40397,Large Williamsburg room,Private room,60,3,1,0
40403,Enjoy a luxury suite during your Manhattan visit!,Private room,300,3,0,0
40404,Sunny and cozy Williamsburg apartment.,Private room,100,2,4,0
40407,Spacious one bedroom apartment upper east side,Entire home/apt,150,1,0,0
40410,PRIVATE BR 5min to TIMES SQ and COLUMBUS CIRCLE,Private room,140,1,4,0
40419,private room,Private room,40,10,0,0
40422,Luxury studio in Manhattan close to everything,Entire home/apt,135,4,0,0
40426,Brooklyn Room - 20 min from Manhattan,Private room,85,1,0,0
40430,Bedroom in shared luxury apartment in East Village,Private room,85,1,7,0
40431,Massive Room in Triplex Loft,Private room,70,1,3,0
40434,1 BEDROOM ASTORIA APARTMENT / 15 min to Manhattan,Entire home/apt,120,3,0,0
40435,Travel alone? Stay like at your friend's house!,Private room,65,1,2,0
40437,Suite with stunning view in convenient location,Private room,200,3,0,0
40448,Sun-Drenched Artistic Uptown Studio,Entire home/apt,70,2,11,0
40453,Weekday Williamsburg Dreamhouse,Entire home/apt,120,3,0,0
40454,"Prime 2BR in GreenPoint, Quiet, Large Living Space",Entire home/apt,175,2,8,0
40456,Quiet cozy room in Prospect Heights,Private room,55,2,21,0
40457,"LUXE 1BR+Bath (private) in New, Spacious 2BR",Private room,65,10,0,0
40459,Entire cozy Manhattan studio close to everything,Entire home/apt,139,10,0,0
40461,Cozy Space in Bay Ridge,Private room,90,2,6,0
40465,"NYC, East 108th st, private bed room, female only",Private room,70,2,3,0
40467,Park&walk2Boat! See LadyLiberty&DTNY all for free!,Private room,100,1,0,0
40468,"Private room Greenpoint, Brooklyn NY",Private room,49,3,0,0
40474,Huge Apartment in TriBeCa,Entire home/apt,400,3,1,0
40475,Cozy Unique Artist Loft in East Williamsburg,Private room,45,2,8,0
40478,Sunlit Williamsburg Studio Right Next to the L!,Entire home/apt,120,14,4,0
